;6001-A[10];6002-A[10];6005-A[5];6006-A[40];6007-A[5];6016-A[4];6018-A[2];6019-A[40];6020-A[5];6023-A[10];6026-A[10];6029-A[20];6030-A[20];6033-A[20];6105-1 F[40];6105-2 F[50];6105-3 F[50];6105-4 F[50];6107-2 F[50];6134-F[57];6142-F[40];6145-2 F[40];6058[60];6016[50];6032[50];6096[50];6038[40];6005[50];6050[50];6058[50];6107-2[50];6131[50];6015[50];6053[50];6118[40];6093[50];V1;V2;V3;V4;
QUIT4;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUIT5;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUIT6;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUIN1;0[0];0[0];0[0];74[30];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];11[40] [1_2];63[50] [1_4];0[0];0[0];0[0];0[0];84[30] [1_6];94[40];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUIN2;0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];-1[0];0[0];0[0];0[0];0[0];-1[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUIN3;0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];86[40] [1_2];31[50] [1_4];0[0];0[0];0[0];0[0];0[0];19[40] [1_3];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUIN4;0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];-1[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUIN5;0[0];0[0];0[0];0[0];0[0];0[0];0[0];98[40] [1_6];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];47[60] [1_2];0[0];0[0];0[0];80[40] [1_1];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUIN6;0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXM1;0[0];0[0];0[0];65[40] [1_5];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];45[50];0[0];42[50] [1_1];0[0];0[0];0[0];49[60] [1_2];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXM2;0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];-1[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXM3;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];27[50] [1_7];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];3[50] [1_1];0[0];35[40] [1_5];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXM4;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXM5;0[0];0[0];0[0];0[0];0[0];0[0];0[0];25[40] [1_5];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];76[50] [1_1];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXM6;0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXT1;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXT2;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXT3;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXT4;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXT5;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXT6;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXN1;0[0];0[0];0[0];56[40] [1_4];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];57[50] [1_6];0[0];0[0];0[0];0[0];39[50] [1_2];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXN2;0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXN3;0[0];0[0];0[0];54[40] [1_4];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];9[50];0[0];0[0];0[0];0[0];6[50] [1_2];0[0];0[0];0[0];0[0];0[0];0[0];
SEXN4;0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXN5;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];12[40] [1_2];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEXN6;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SABM1;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SABM2;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SABM3;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SABM4;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SABM5;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SABM6;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SABT1;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
SABT2;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
SABT3;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
SABT4;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
SABT5;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
SABT6;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
SABN1;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
SABN2;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
SABN3;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
SABN4;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
SABN5;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
SABN6;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMM1;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMM2;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMM3;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMM4;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMM5;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMM6;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMT1;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMT2;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMT3;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMT4;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMT5;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMT6;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMN1;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMN2;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMN3;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMN4;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMN5;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];
DOMN6;-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];-2[0];0[0];0[0];0[0];0[0];